constructor,status,date,circuit,year,race
Red Bull,Finished,2019-04-14,Chinese Grand Prix,2019,3
Renault,Finished,2019-04-14,Chinese Grand Prix,2019,3
Racing Point,Finished,2019-04-14,Chinese Grand Prix,2019,3
Alfa Romeo,Finished,2019-04-14,Chinese Grand Prix,2019,3
Toro Rosso,Finished,2019-04-14,Chinese Grand Prix,2019,3
Haas F1 Team,Finished,2019-04-14,Chinese Grand Prix,2019,3
Racing Point,Finished,2019-04-14,Chinese Grand Prix,2019,3
Haas F1 Team,Finished,2019-04-14,Chinese Grand Prix,2019,3
McLaren,Finished,2019-04-14,Chinese Grand Prix,2019,3
Alfa Romeo,Finished,2019-04-14,Chinese Grand Prix,2019,3
Williams,Finished,2019-04-14,Chinese Grand Prix,2019,3
Williams,Finished,2019-04-14,Chinese Grand Prix,2019,3
McLaren,Accident,2019-04-14,Chinese Grand Prix,2019,3
Toro Rosso,Accident,2019-04-14,Chinese Grand Prix,2019,3
Renault,Engine,2019-04-14,Chinese Grand Prix,2019,3
Mercedes,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Mercedes,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Ferrari,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Red Bull,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Ferrari,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Racing Point,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
McLaren,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
McLaren,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Racing Point,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Alfa Romeo,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Toro Rosso,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Alfa Romeo,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Haas F1 Team,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Renault,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Williams,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Williams,Finished,2019-04-28,Azerbaijan Grand Prix,2019,4
Red Bull,Gearbox,2019-04-28,Azerbaijan Grand Prix,2019,4
Haas F1 Team,Tyre,2019-04-28,Azerbaijan Grand Prix,2019,4
Toro Rosso,Accident,2019-04-28,Azerbaijan Grand Prix,2019,4
Renault,Accident,2019-04-28,Azerbaijan Grand Prix,2019,4
Mercedes,Finished,2019-05-12,Spanish Grand Prix,2019,5
Mercedes,Finished,2019-05-12,Spanish Grand Prix,2019,5
Red Bull,Finished,2019-05-12,Spanish Grand Prix,2019,5
Ferrari,Finished,2019-05-12,Spanish Grand Prix,2019,5
Ferrari,Finished,2019-05-12,Spanish Grand Prix,2019,5
Red Bull,Finished,2019-05-12,Spanish Grand Prix,2019,5
Haas F1 Team,Finished,2019-05-12,Spanish Grand Prix,2019,5
McLaren,Finished,2019-05-12,Spanish Grand Prix,2019,5
Toro Rosso,Finished,2019-05-12,Spanish Grand Prix,2019,5
Haas F1 Team,Finished,2019-05-12,Spanish Grand Prix,2019,5
Toro Rosso,Finished,2019-05-12,Spanish Grand Prix,2019,5
Renault,Finished,2019-05-12,Spanish Grand Prix,2019,5
Renault,Finished,2019-05-12,Spanish Grand Prix,2019,5
Alfa Romeo,Finished,2019-05-12,Spanish Grand Prix,2019,5
Racing Point,Finished,2019-05-12,Spanish Grand Prix,2019,5
Alfa Romeo,Finished,2019-05-12,Spanish Grand Prix,2019,5
Williams,Finished,2019-05-12,Spanish Grand Prix,2019,5
Williams,Finished,2019-05-12,Spanish Grand Prix,2019,5
Racing Point,Accident,2019-05-12,Spanish Grand Prix,2019,5
McLaren,Accident,2019-05-12,Spanish Grand Prix,2019,5
Mercedes,Finished,2019-05-26,Monaco Grand Prix,2019,6
Ferrari,Finished,2019-05-26,Monaco Grand Prix,2019,6
Mercedes,Finished,2019-05-26,Monaco Grand Prix,2019,6
Red Bull,Finished,2019-05-26,Monaco Grand Prix,2019,6
Red Bull,Finished,2019-05-26,Monaco Grand Prix,2019,6
McLaren,Finished,2019-05-26,Monaco Grand Prix,2019,6
Toro Rosso,Finished,2019-05-26,Monaco Grand Prix,2019,6
Toro Rosso,Finished,2019-05-26,Monaco Grand Prix,2019,6
Renault,Finished,2019-05-26,Monaco Grand Prix,2019,6
Haas F1 Team,Finished,2019-05-26,Monaco Grand Prix,2019,6
McLaren,Finished,2019-05-26,Monaco Grand Prix,2019,6
Racing Point,Finished,2019-05-26,Monaco Grand Prix,2019,6
Renault,Finished,2019-05-26,Monaco Grand Prix,2019,6
Haas F1 Team,Finished,2019-05-26,Monaco Grand Prix,2019,6
Williams,Finished,2019-05-26,Monaco Grand Prix,2019,6
Racing Point,Finished,2019-05-26,Monaco Grand Prix,2019,6
Alfa Romeo,Finished,2019-05-26,Monaco Grand Prix,2019,6
Williams,Finished,2019-05-26,Monaco Grand Prix,2019,6
Alfa Romeo,Finished,2019-05-26,Monaco Grand Prix,2019,6
Ferrari,Accident,2019-05-26,Monaco Grand Prix,2019,6
Mercedes,Finished,2019-06-09,Canadian Grand Prix,2019,7
Ferrari,Finished,2019-06-09,Canadian Grand Prix,2019,7
Ferrari,Finished,2019-06-09,Canadian Grand Prix,2019,7
Mercedes,Finished,2019-06-09,Canadian Grand Prix,2019,7
Red Bull,Finished,2019-06-09,Canadian Grand Prix,2019,7
Renault,Finished,2019-06-09,Canadian Grand Prix,2019,7
Renault,Finished,2019-06-09,Canadian Grand Prix,2019,7
Red Bull,Finished,2019-06-09,Canadian Grand Prix,2019,7
Racing Point,Finished,2019-06-09,Canadian Grand Prix,2019,7
Toro Rosso,Finished,2019-06-09,Canadian Grand Prix,2019,7
McLaren,Finished,2019-06-09,Canadian Grand Prix,2019,7
Racing Point,Finished,2019-06-09,Canadian Grand Prix,2019,7
Alfa Romeo,Finished,2019-06-09,Canadian Grand Prix,2019,7
Haas F1 Team,Finished,2019-06-09,Canadian Grand Prix,2019,7
Alfa Romeo,Finished,2019-06-09,Canadian Grand Prix,2019,7
Williams,Finished,2019-06-09,Canadian Grand Prix,2019,7
Haas F1 Team,Finished,2019-06-09,Canadian Grand Prix,2019,7
Williams,Finished,2019-06-09,Canadian Grand Prix,2019,7
Toro Rosso,Accident,2019-06-09,Canadian Grand Prix,2019,7
McLaren,Suspension,2019-06-09,Canadian Grand Prix,2019,7
Mercedes,Finished,2019-06-23,French Grand Prix,2019,8
Mercedes,Finished,2019-06-23,French Grand Prix,2019,8
Ferrari,Finished,2019-06-23,French Grand Prix,2019,8
Red Bull,Finished,2019-06-23,French Grand Prix,2019,8
Ferrari,Finished,2019-06-23,French Grand Prix,2019,8
McLaren,Finished,2019-06-23,French Grand Prix,2019,8
Alfa Romeo,Finished,2019-06-23,French Grand Prix,2019,8
Renault,Finished,2019-06-23,French Grand Prix,2019,8
McLaren,Finished,2019-06-23,French Grand Prix,2019,8
Red Bull,Finished,2019-06-23,French Grand Prix,2019,8
Renault,Finished,2019-06-23,French Grand Prix,2019,8
Racing Point,Finished,2019-06-23,French Grand Prix,2019,8
Racing Point,Finished,2019-06-23,French Grand Prix,2019,8
Toro Rosso,Finished,2019-06-23,French Grand Prix,2019,8
Toro Rosso,Finished,2019-06-23,French Grand Prix,2019,8
Alfa Romeo,Finished,2019-06-23,French Grand Prix,2019,8
Haas F1 Team,Finished,2019-06-23,French Grand Prix,2019,8
Williams,Finished,2019-06-23,French Grand Prix,2019,8
Williams,Finished,2019-06-23,French Grand Prix,2019,8
Red Bull,Finished,2019-06-30,Austrian Grand Prix,2019,9
Ferrari,Finished,2019-06-30,Austrian Grand Prix,2019,9
Mercedes,Finished,2019-06-30,Austrian Grand Prix,2019,9
Ferrari,Finished,2019-06-30,Austrian Grand Prix,2019,9
Mercedes,Finished,2019-06-30,Austrian Grand Prix,2019,9
McLaren,Finished,2019-06-30,Austrian Grand Prix,2019,9
Red Bull,Finished,2019-06-30,Austrian Grand Prix,2019,9
McLaren,Finished,2019-06-30,Austrian Grand Prix,2019,9
Alfa Romeo,Finished,2019-06-30,Austrian Grand Prix,2019,9
Alfa Romeo,Finished,2019-06-30,Austrian Grand Prix,2019,9
Racing Point,Finished,2019-06-30,Austrian Grand Prix,2019,9
Renault,Finished,2019-06-30,Austrian Grand Prix,2019,9
Renault,Finished,2019-06-30,Austrian Grand Prix,2019,9
Racing Point,Finished,2019-06-30,Austrian Grand Prix,2019,9
Toro Rosso,Finished,2019-06-30,Austrian Grand Prix,2019,9
Haas F1 Team,Finished,2019-06-30,Austrian Grand Prix,2019,9
Toro Rosso,Finished,2019-06-30,Austrian Grand Prix,2019,9
Williams,Finished,2019-06-30,Austrian Grand Prix,2019,9
Haas F1 Team,Finished,2019-06-30,Austrian Grand Prix,2019,9
Williams,Finished,2019-06-30,Austrian Grand Prix,2019,9
Mercedes,Finished,2019-07-14,British Grand Prix,2019,10
Mercedes,Finished,2019-07-14,British Grand Prix,2019,10
Ferrari,Finished,2019-07-14,British Grand Prix,2019,10
Red Bull,Finished,2019-07-14,British Grand Prix,2019,10
Red Bull,Finished,2019-07-14,British Grand Prix,2019,10
McLaren,Finished,2019-07-14,British Grand Prix,2019,10
Renault,Finished,2019-07-14,British Grand Prix,2019,10
Alfa Romeo,Finished,2019-07-14,British Grand Prix,2019,10
Toro Rosso,Finished,2019-07-14,British Grand Prix,2019,10
Renault,Finished,2019-07-14,British Grand Prix,2019,10
McLaren,Finished,2019-07-14,British Grand Prix,2019,10
Toro Rosso,Finished,2019-07-14,British Grand Prix,2019,10
Racing Point,Finished,2019-07-14,British Grand Prix,2019,10
Williams,Finished,2019-07-14,British Grand Prix,2019,10
Williams,Finished,2019-07-14,British Grand Prix,2019,10
Ferrari,Finished,2019-07-14,British Grand Prix,2019,10
Racing Point,Finished,2019-07-14,British Grand Prix,2019,10
Alfa Romeo,Accident,2019-07-14,British Grand Prix,2019,10
Haas F1 Team,Accident,2019-07-14,British Grand Prix,2019,10
Haas F1 Team,Accident,2019-07-14,British Grand Prix,2019,10
Red Bull,Finished,2019-07-28,German Grand Prix,2019,11
Ferrari,Finished,2019-07-28,German Grand Prix,2019,11
